time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
0.9600000000000005,-2.20004786215,0.593657615075,0.0,1.87100034631,3.01040028962,0.0,-5.89554573549,1.71085802778,-3.36879626619,-25.3234177492,3.7543806331,0.0,221.652647836,247.278301012,816.618452283,256.107962775,1,48.0
0.9600000000000005,-2.18559974328,0.563555376744,0.0,2.0227978396,3.0185402901,0.0,-5.8711440357,1.72521946947,-3.47988649449,-25.4515463991,3.80998084344,0.0,217.808713186,244.934867855,820.364370933,253.984659462,2,48.0
0.9000000000000005,-1.83697907534,0.379179063121,0.0,5.77004331396,2.95627100691,0.0,-5.44516159211,0.461320752933,-4.54217260619,-19.4335958682,4.59167773128,0.0,303.456754791,347.055201901,639.653507865,332.196705118,3,45.0
0.9000000000000005,-1.84167712187,0.365607327852,0.0,5.76991702766,2.94566131176,0.0,-5.46292106641,0.442918763213,-4.51200334936,-19.3736915137,4.59010891624,0.0,303.390165849,348.428260842,638.498199597,333.142280946,4,45.0
0.9600000000000005,-2.23590774706,0.272134571016,0.0,4.05610252277,3.06028106603,0.0,-5.91505498803,0.768197871957,-4.25288762269,-19.1614947741,3.4210510901,0.0,254.745880103,231.334577815,799.697737731,503.446435305,5,48.0
1.0200000000000005,-3.2368846342,0.879138983615,0.0,0.597914065622,1.35350353938,0.0,-8.96939872574,1.09075534351,-3.24803817831,-15.593615537,-1.58200512594,0.0,312.30510746,354.111575287,667.282671314,425.614186615,6,51.0
0.7200000000000003,-0.645274685689,1.72038280502,0.0,4.00499590688,1.27347443841,0.0,-4.15430085677,2.42408425955,-1.52725117407,-11.8494514458,-5.5643958078,0.0,378.56401432,215.974300026,796.247572983,653.522608822,7,36.0
0.3,-0.0369203442747,0.466041955362,0.0,1.56051456651,0.198008928973,0.0,-0.412265200622,3.59068186116,-2.88052408713,-9.18093583156,-1.47060678543,0.0,410.193874149,342.181432066,660.585268704,527.486491064,8,15.0
0.23999999999999996,-0.0204813944338,0.258146388771,0.0,2.41938737246,0.264880159356,0.0,-0.334101320404,2.28788078069,-3.43565875005,-8.91368356614,-1.43976556888,0.0,414.209265579,319.540235853,706.306801523,575.339546225,9,12.0
0.23999999999999996,-0.0236279103389,0.205039851715,0.0,2.95636989658,0.32173409135,0.0,-0.414844712801,1.38795321574,-4.2029733917,-9.67382530469,-1.84695946359,0.0,408.108636199,297.74314542,745.803015068,607.64431488,10,12.0
0.23999999999999996,-0.0256284131679,0.120376670548,0.0,3.5096267657,0.358679573474,0.0,-0.477085138706,0.119350916169,-4.44611021961,-10.3602982125,-2.16861703467,0.0,399.088031589,273.54524001,783.299154124,642.634402787,11,12.0
0.23999999999999996,-0.0280807912832,0.0174127563642,0.0,4.1261481336,0.386292243299,0.0,-0.541444368505,-1.25304226655,-3.80680295721,-11.017871481,-2.36730808803,0.0,387.251525768,248.599829424,816.809252106,676.524045355,12,12.0
0.23999999999999996,-0.0292341778045,-0.0548153496644,0.0,4.78920418516,0.385231440643,0.0,-0.573029880527,-1.93162626521,-2.253929068,-11.5981270749,-2.47921061435,0.0,366.553353709,214.662352338,844.644210084,707.510904699,13,12.0
0.36000000000000004,-0.151703407926,-0.340202372722,0.0,4.14874839371,0.244752903344,0.0,-1.41830916219,-3.53513791586,-1.49105073624,-13.8809074063,-4.37593986843,0.0,341.042691185,200.556402999,851.385370117,697.779812535,14,18.0
0.4200000000000001,-0.0262964949262,0.265763151513,0.0,3.57111686489,6.26169670778,0.0,-0.0876595348545,0.711519760038,-2.50949169469,-22.9451127438,-1.45655787777,0.0,207.162011887,56.8859658578,890.587449869,434.479297456,15,21.0
0.23999999999999996,-0.00681975729953,0.111891506679,0.0,2.96427896793,0.0190047587742,0.0,-0.0854985070103,1.15489197469,-3.10447917754,-15.9427159181,-1.36301377539,0.0,336.327706788,272.989149086,797.708760709,490.635073214,16,12.0
0.23999999999999996,-0.0075625026977,0.0940294410267,0.0,3.54478402449,0.0479675857763,0.0,-0.109923456222,0.531677300769,-3.50437732429,-16.3606818719,-1.74729010602,0.0,328.852828061,238.639185762,823.060872078,518.775507686,17,12.0
0.23999999999999996,-0.00245113567127,0.0661180681836,0.0,3.04018170032,0.0407119246423,0.0,-0.0399805717394,0.00744015112446,-4.37036380156,-17.8245531621,-1.5605024098,0.0,314.275720563,203.532165546,841.894433719,552.975813812,18,12.0
0.23999999999999996,-0.00344093545325,0.0999312947864,0.0,2.86177834917,0.026769762548,0.0,-0.0439040153491,0.556491699105,-4.31999178945,-18.1172883715,-1.70978550968,0.0,310.462250817,199.310258749,838.741322566,535.367186365,19,12.0
0.23999999999999996,-0.0123580847557,0.0234936551631,0.0,4.71108898045,0.08602227086,0.0,-0.194000952788,-0.880603008532,-3.00216826563,-17.1191182313,-2.44715537757,0.0,292.720964023,154.25782152,862.49979993,563.082162253,20,12.0
0.23999999999999996,-0.0140825475589,0.0014031175106,0.0,5.21565613547,0.0884740817438,0.0,-0.218484738396,-1.08487780446,-2.50579146521,-17.4679163749,-2.57649115621,0.0,277.349270126,126.27156705,871.927533353,561.475113328,21,12.0
0.23999999999999996,-0.0156144859013,-0.0114575246154,0.0,5.75476053636,0.0810670290092,0.0,-0.233348523448,-1.03365283788,-1.98484867953,-17.842214067,-2.64993560224,0.0,261.9988231,103.669388704,878.887404896,552.62950934,22,12.0
